Relatório Pluviométrico da Estação: Guaratiba

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
02/02/1997  18:52:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  19:07:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  19:22:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  19:37:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  19:52:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  20:07:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  20:22:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  20:37:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  20:52:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  21:07:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  21:22:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  21:37:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  21:52:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  22:07:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  22:22:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  22:37:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  22:52:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  23:07:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  23:22:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  23:37:40  HBV      0.0    0.0    0.0    0.0    0.0
02/02/1997  23:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  00:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  00:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  00:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  00:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  01:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  01:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  01:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  01:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  02:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  02:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  02:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  02:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  03:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  03:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  03:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  03:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  04:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  04:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  04:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  04:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  05:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  05:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  05:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  05:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  06:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  06:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  06:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  06:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  07:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  07:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  07:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  07:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  08:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  08:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  08:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  08:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  09:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  09:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  09:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  09:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  10:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  10:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  10:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  10:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  11:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  11:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  11:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  11:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  12:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  12:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  12:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  12:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  13:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  13:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  13:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  13:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  14:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  14:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  14:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  14:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  15:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  15:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  15:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  15:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  16:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  16:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  16:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  16:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  17:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  17:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  17:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  17:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  18:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  18:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  18:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  18:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  19:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  19:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  19:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  19:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  20:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  20:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  20:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  20:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  21:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  21:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  21:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  21:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  22:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  22:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  22:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  22:52:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  23:07:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  23:22:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  23:37:40  HBV      0.0    0.0    0.0    0.0    0.0
03/02/1997  23:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  00:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  00:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  00:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  00:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  01:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  01:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  01:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  01:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  02:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  02:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  02:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  02:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  03:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  03:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  03:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  03:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  04:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  04:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  04:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  04:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  05:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  05:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  05:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  05:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  06:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  06:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  06:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  06:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  07:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  07:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  07:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  07:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  08:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  08:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  08:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  08:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  09:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  09:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  09:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  09:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  10:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  10:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  10:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  10:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  11:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  11:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  11:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  11:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  12:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  12:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  12:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  12:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  13:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  13:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  13:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  13:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  14:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  14:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  14:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  14:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  15:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  15:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  15:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  15:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  16:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  16:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  16:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  16:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  17:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  17:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  17:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  17:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  18:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  18:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  18:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  18:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  19:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  19:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  19:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  19:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  20:07:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  20:22:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  20:37:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  20:52:40  HBV      0.0    0.0    0.0    0.0    0.0
04/02/1997  21:07:40  HBV      0.0    0.0    0.0    0.0    0.0
