Relatório Pluviométrico da Estação: Sepetiba

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
08/12/1997  18:21:40  HBV      0.0    0.0    0.0    0.0    0.0
08/12/1997  18:36:40  HBV      0.2    0.2    0.2    0.2    0.2
08/12/1997  18:51:40  HBV      1.5    1.7    1.7    1.7    1.7
08/12/1997  19:06:40  HBV      0.0    1.7    1.7    1.7    1.7
08/12/1997  19:21:40  HBV      0.0    1.7    1.7    1.7    1.7
08/12/1997  19:36:40  HBV      0.0    1.5    1.7    1.7    1.7
08/12/1997  19:51:40  HBV      0.0    0.0    1.7    1.7    1.7
08/12/1997  20:06:40  HBV      0.0    0.0    1.7    1.7    1.7
08/12/1997  20:21:40  HBV      0.0    0.0    1.7    1.7    1.7
08/12/1997  20:36:40  HBV      0.0    0.0    1.7    1.7    1.7
08/12/1997  20:51:40  HBV      0.0    0.0    1.7    1.7    1.7
08/12/1997  21:06:40  HBV      0.0    0.0    1.7    1.7    1.7
08/12/1997  21:21:40  HBV      0.0    0.0    1.7    1.7    1.7
08/12/1997  21:36:40  HBV      0.0    0.0    1.7    1.7    1.7
08/12/1997  21:51:40  HBV      0.0    0.0    1.7    1.7    1.7
08/12/1997  22:06:40  HBV      0.0    0.0    1.7    1.7    1.7
08/12/1997  22:21:40  HBV      0.0    0.0    1.7    1.7    1.7
08/12/1997  22:36:40  HBV      0.0    0.0    1.5    1.7    1.7
08/12/1997  22:51:40  HBV      0.0    0.0    0.0    1.7    1.7
08/12/1997  23:06:40  HBV      0.0    0.0    0.0    1.7    1.7
08/12/1997  23:21:40  HBV      0.0    0.0    0.0    1.7    1.7
08/12/1997  23:36:40  HBV      0.0    0.0    0.0    1.7    1.7
08/12/1997  23:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  00:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  00:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  00:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  00:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  01:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  01:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  01:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  01:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  02:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  02:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  02:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  02:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  03:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  03:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  03:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  03:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  04:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  04:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  04:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  04:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  05:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  05:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  05:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  05:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  06:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  06:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  06:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  06:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  07:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  07:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  07:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  07:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  08:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  08:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  08:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  08:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  09:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  09:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  09:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  09:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  10:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  10:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  10:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  10:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  11:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  11:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  11:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  11:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  12:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  12:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  12:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  12:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  13:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  13:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  13:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  13:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  14:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  14:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  14:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  14:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  15:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  15:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  15:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  15:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  16:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  16:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  16:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  16:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  17:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  17:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  17:36:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  17:51:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  18:06:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  18:21:40  HBV      0.0    0.0    0.0    1.7    1.7
09/12/1997  18:36:40  HBV      0.0    0.0    0.0    1.5    1.7
09/12/1997  18:51:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  19:06:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  19:21:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  19:36:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  19:51:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  20:06:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  20:21:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  20:36:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  20:51:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  21:06:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  21:21:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  21:36:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  21:51:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  22:06:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  22:21:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  22:36:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  22:51:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  23:06:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  23:21:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  23:36:40  HBV      0.0    0.0    0.0    0.0    1.7
09/12/1997  23:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  00:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  00:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  00:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  00:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  01:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  01:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  01:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  01:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  02:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  02:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  02:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  02:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  03:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  03:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  03:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  03:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  04:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  04:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  04:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  04:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  05:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  05:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  05:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  05:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  06:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  06:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  06:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  06:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  07:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  07:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  07:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  07:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  08:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  08:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  08:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  08:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  09:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  09:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  09:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  09:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  10:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  10:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  10:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  10:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  11:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  11:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  11:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  11:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  12:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  12:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  12:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  12:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  13:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  13:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  13:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  13:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  14:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  14:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  14:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  14:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  15:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  15:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  15:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  15:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  16:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  16:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  16:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  16:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  17:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  17:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  17:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  17:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  18:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  18:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  18:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  18:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  19:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  19:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  19:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  19:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  20:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  20:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  20:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  20:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  21:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  21:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  21:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  21:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  22:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  22:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  22:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  22:51:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  23:06:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  23:21:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  23:36:40  HBV      0.0    0.0    0.0    0.0    1.7
10/12/1997  23:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  00:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  00:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  00:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  00:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  01:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  01:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  01:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  01:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  02:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  02:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  02:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  02:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  03:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  03:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  03:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  03:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  04:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  04:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  04:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  04:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  05:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  05:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  05:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  05:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  06:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  06:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  06:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  06:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  07:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  07:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  07:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  07:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  08:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  08:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  08:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  08:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  09:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  09:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  09:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  09:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  10:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  10:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  10:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  10:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  11:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  11:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  11:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  11:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  12:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  12:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  12:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  12:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  13:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  13:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  13:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  13:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  14:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  14:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  14:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  14:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  15:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  15:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  15:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  15:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  16:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  16:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  16:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  16:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  17:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  17:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  17:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  17:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  18:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  18:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  18:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  18:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  19:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  19:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  19:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  19:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  20:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  20:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  20:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  20:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  21:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  21:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  21:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  21:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  22:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  22:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  22:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  22:51:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  23:06:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  23:21:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  23:36:40  HBV      0.0    0.0    0.0    0.0    1.7
11/12/1997  23:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  00:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  00:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  00:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  00:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  01:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  01:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  01:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  01:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  02:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  02:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  02:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  02:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  03:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  03:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  03:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  03:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  04:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  04:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  04:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  04:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  05:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  05:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  05:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  05:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  06:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  06:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  06:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  06:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  07:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  07:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  07:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  07:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  08:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  08:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  08:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  08:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  09:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  09:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  09:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  09:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  10:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  10:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  10:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  10:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  11:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  11:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  11:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  11:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  12:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  12:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  12:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  12:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  13:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  13:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  13:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  13:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  14:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  14:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  14:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  14:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  15:06:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  15:21:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  15:36:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  15:51:40  HBV      0.0    0.0    0.0    0.0    1.7
12/12/1997  16:06:40  HBV      0.0    0.0    0.0    0.0    1.7
